plot,PD,rate,block,rye_bio_0.25m,rye_bio,weed_bio_0.25m,weed_bio,rye_bio_0.125m,rye_bio_phen,rye_seedlings_B,fall_can_B,fall_can_A,sp_can_A,sp_can_B_noweeds,sp_can_B_weedy,sp_can_B_weeds,tillers_n,soybean_ac,peak_bio_0.5m2,peak_bio,seeds.n,seedhead.n,seedhead.wt,seedhead.avg.wt,seed.per.head
101E,Early,1.5,1,171.6,6864,1.538,61.52,55.8,4464,186,0.2209,0.2317,0.6298,0.5198,0.6045,0.0847,22,158000,49.29,985.80,99,13,1.303,0.100230769,7.615384615
101L,Late,1.5,1,119.7,4788,1.616,64.64,47.5,3800,102,0.1289,0.0878,0.4948,0.3915,0.4652,0.0737,11,143000,52.35,1047.08,142,30,2.569,0.085633333,4.733333333
102E,Early,0,1,80.3,3212,0.064,2.56,27.7,2216,135,0.1475,0.1328,0.2239,0.2457,0.2591,0.0134,54,177000,41.71,834.12,620,61,9.385,0.153852459,10.16393443
102L,Late,0,1,67.3,2692,0.116,4.64,58.7,4696,156,0.0603,0.0527,0.1844,0.1948,0.1944,-0.0004,45,173000,58.26,1165.20,581,68,8.527,0.125397059,8.544117647
103E,Early,3,1,218.2,8728,3.206,128.24,53.1,4248,104,0.3531,0.2624,0.6046,0.5918,0.66,0.0682,18,136000,23.28,465.52,191,17,3.159,0.185823529,11.23529412
103L,Late,3,1,125.5,5020,0.58,23.2,90.3,7224,147,0.1864,0.1875,0.4275,0.4515,0.5004,0.0489,21,144000,43.59,871.82,136,15,2.432,0.162133333,9.066666667
201E,Early,0,2,62,2480,0.247,9.88,18.5,1480,181,0.0981,0.0896,0.2827,0.2246,0.2333,0.0087,59,197000,54.14,1082.82,453,62,7.407,0.119467742,7.306451613
201L,Late,0,2,92,3680,0.856,34.24,41.1,3288,170,0.1488,0.1224,0.324,0.3324,0.3526,0.0202,38,192000,56.58,1131.52,411,54,5.547,0.102722222,7.611111111
202E,Early,1.5,2,89,3560,2.46,98.4,42.2,3376,174,0.1048,0.072,0.282,0.2397,0.2211,-0.0186,20,155000,61.68,1233.52,167,23,2.851,0.123956522,7.260869565
202L,Late,1.5,2,126.3,5052,2.219,88.76,54.1,4328,204,0.1532,0.1201,0.3343,0.3919,0.4134,0.0215,10,197000,34.28,685.54,109,19,1.904,0.100210526,5.736842105
203E,Early,3,2,79.3,3172,1.417,56.68,23.2,1856,129,0.0602,0.0635,0.231,0.2315,0.2354,0.0039,16,170000,61.08,1221.64,148,19,2.401,0.126368421,7.789473684
203L,Late,3,2,97.6,3904,0.502,20.08,80.8,6464,163,0.0868,0.0432,0.2722,0.2529,0.257,0.0041,18,166000,46.07,921.34,125,25,2.736,0.10944,5
301E,Early,3,3,129.7,5188,2.07,82.8,49.9,3992,174,0.201,0.1406,0.4026,0.4269,0.518,0.0911,13,171000,48.36,967.10,77,21,1.848,0.088,3.666666667
301L,Late,3,3,136.2,5448,2.145,85.8,35.7,2856,171,0.2364,0.251,0.4407,0.393,0.4104,0.0174,22,180000,75.69,1513.86,277,28,4.235,0.15125,9.892857143
302E,Early,1.5,3,85.5,3420,3.624,144.96,38.2,3056,168,0.0986,0.0952,0.3993,0.2479,0.3366,0.0887,16,136000,34.78,695.66,146,17,1.757,0.103352941,8.588235294
302L,Late,1.5,3,106.9,4276,4.115,164.6,35.4,2832,151,0.0854,0.1041,0.4142,0.3264,na,na,13,152000,77.82,1556.46,196,21,3.046,0.145047619,9.333333333
303E,Early,0,3,39.8,1592,0.068,2.72,20.6,1648,161,0.0421,0.021,0.1075,0.1008,0.1073,0.0065,61,192000,19.51,390.14,516,52,8.285,0.159326923,9.923076923
303L,Late,0,3,46,1840,0.000001,0.000001,22.9,1832,168,0.0228,0.0321,0.0926,0.0543,0.0495,-0.0048,44,169000,64.53,1290.66,582,53,9.425,0.177830189,10.98113208
401E,Early,0,4,90.4,3616,0.196,7.84,33.5,2680,165,0.0714,0.0844,0.2452,0.2169,0.2151,-0.0018,22,171000,53.82,1076.32,293,39,4.048,0.103794872,7.512820513
401L,Late,0,4,95.8,3832,0.553,22.12,23,1840,158,0.0766,0.0556,0.2689,0.2239,0.2689,0.0450,27,176000,81.06,1621.14,224,32,3.853,0.12040625,7
402E,Early,3,4,61.8,2472,2.573,102.92,17.7,1416,118,0.0183,0.0493,0.2427,0.1906,0.2152,0.0246,19,166000,50.54,1010.72,229,22,4.107,0.186681818,10.40909091
402L,Late,3,4,103.2,4128,3.504,140.16,47.4,3792,123,0.0291,0.0353,0.3624,0.2846,0.3454,0.0608,26,170000,58.05,1160.98,237,30,3.417,0.1139,7.9
403E,Early,1.5,4,84,3360,0.246,9.84,38.8,3104,169,0.0758,0.1186,0.2898,0.2488,0.2639,0.0151,21,179000,49.59,991.82,275,24,4.128,0.172,11.45833333
403L,Late,1.5,4,119.7,4788,4.359,174.36,41.3,3304,124,0.1336,0.1304,0.3429,0.3195,0.3584,0.0389,14,198000,63.68,1273.56,158,20,2.308,0.1154,7.9
501E,Early,3,5,160.8,6432,0.877,35.08,59.2,4736,173,0.2281,0.2217,0.5233,0.3623,0.4425,0.0802,47,89000,68.59,1371.86,594,62,9.392,0.151483871,9.580645161
501L,Late,3,5,225,9000,1.975,79,119.1,9528,161,0.214,0.1636,0.6619,0.5992,0.6733,0.0741,22,143000,46.19,923.80,280,25,4.551,0.18204,11.2
502E,Early,0,5,78.5,3140,0.074,2.96,26.5,2120,144,0.0105,0.035,0.1887,0.2027,0.1947,-0.0080,20,182000,46.27,925.40,96,20,1.962,0.0981,4.8
502L,Late,0,5,66.2,2648,0.724,28.96,30.9,2472,156,0.0104,0.0147,0.1204,0.1542,0.1545,0.0003,18,191000,36.49,729.78,148,26,2.515,0.096730769,5.692307692
503E,Early,1.5,5,144.4,5776,3.193,127.72,35.8,2864,150,0.1912,0.0925,0.4673,0.2874,0.3564,0.0690,16,174000,55.68,1113.60,107,19,1.816,0.095578947,5.631578947
503L,Late,1.5,5,106.1,4244,2.382,95.28,54.1,4328,161,0.1994,0.1774,0.3856,0.3367,0.4097,0.0730,14,173000,54.68,1093.62,164,20,3.097,0.15485,8.2